City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,invercargill,-46.4,168.35,2.79,82,100,2.68,NZ,2024-06-11
1,iqaluit,63.7506,-68.5145,1.85,87,75,1.54,CA,2024-06-11
2,aykhal,66.0,111.5,17.06,48,77,2.12,RU,2024-06-11
3,vernon,50.2581,-119.2691,27.39,20,75,3.09,CA,2024-06-11
4,grytviken,-54.2811,-36.5092,-9.57,75,17,5.86,GS,2024-06-11
5,paita,-5.0892,-81.1144,20.45,79,23,6.78,PE,2024-06-11
6,bethel,41.3712,-73.414,22.74,61,40,3.09,US,2024-06-11
7,waitangi,-43.9535,-176.5597,9.34,81,2,2.68,NZ,2024-06-11
8,puerto deseado,-47.7503,-65.8938,8.23,85,95,3.49,AR,2024-06-11
9,dauphin,51.1494,-100.0502,21.08,52,40,9.77,CA,2024-06-11
10,plaza huincul,-38.926,-69.2086,10.08,10,100,0.56,AR,2024-06-11
11,adamstown,-25.066,-130.1015,22.03,85,97,8.07,PN,2024-06-11
12,nemuro,43.3236,145.575,11.52,97,99,1.38,JP,2024-06-11
13,margaret river,-33.95,115.0667,12.33,81,0,1.44,AU,2024-06-11
14,kabinda,-6.1333,24.4833,20.8,55,18,1.85,CD,2024-06-11
15,mazar-e sharif,36.709,67.1109,32.21,17,0,4.26,AF,2024-06-11
16,auki,-8.7676,160.7034,27.51,81,100,1.04,SB,2024-06-11
17,brookings,44.3114,-96.7984,28.36,38,20,7.72,US,2024-06-11
18,ramotswa,-24.8716,25.8699,9.66,49,42,0.96,BW,2024-06-11
19,rosarito,32.3333,-117.0333,19.58,70,22,3.84,MX,2024-06-11
20,mugia,43.1041,-9.2179,13.84,77,7,8.56,ES,2024-06-11
21,port elizabeth,-33.918,25.5701,22.28,58,0,2.06,ZA,2024-06-11
22,verkhnevilyuysk,63.4453,120.3167,15.86,53,52,1.69,RU,2024-06-11
23,vyaz'ma,55.2104,34.2951,15.01,98,34,0.97,RU,2024-06-11
24,nar'yan-mar,67.6713,53.087,6.73,90,72,3.58,RU,2024-06-11
25,constantia,44.1833,28.65,23.38,78,71,2.81,RO,2024-06-11
26,mocimboa,-11.3167,40.35,21.43,84,41,5.27,MZ,2024-06-11
27,vilyuchinsk,52.9306,158.4028,9.15,92,100,1.91,RU,2024-06-11
28,talnakh,69.4865,88.3972,5.11,96,100,3.97,RU,2024-06-11
29,port-aux-francais,-49.35,70.2167,1.72,67,86,17.18,TF,2024-06-11
30,tazovsky,67.4667,78.7,2.72,77,65,1.05,RU,2024-06-11
31,alice springs,-23.7,133.8833,6.75,87,0,3.09,AU,2024-06-11
32,guerrero negro,27.9769,-114.0611,21.21,60,0,8.85,MX,2024-06-11
33,chunskiy,56.0815,99.6342,12.6,75,27,0.94,RU,2024-06-11
34,sao vicente,-23.9631,-46.3919,27.3,26,0,0.51,BR,2024-06-11
35,stanovoye,52.7638,38.3582,18.9,75,61,3.37,RU,2024-06-11
36,whitehorse,60.7161,-135.0538,16.56,36,75,4.12,CA,2024-06-11
37,lebu,-37.6167,-73.65,12.76,93,100,8.72,CL,2024-06-11
38,bandarbeyla,9.4942,50.8122,26.13,80,96,10.5,SO,2024-06-11
39,iskateley,67.6803,53.1512,6.68,90,72,3.58,RU,2024-06-11
40,blackmans bay,-43.0167,147.3167,5.41,82,47,1.34,AU,2024-06-11
41,bilibino,68.0546,166.4372,15.85,39,61,2.36,RU,2024-06-11
42,papatowai,-46.5619,169.4708,4.27,76,100,3.56,NZ,2024-06-11
